0.5172800121888518, 0.21658578749476276
AVG: 0.5172800121888518, STD: 0.0
0.48430001155138014, 0.21492675987212365
AVG: 0.48430001155138014, STD: 0.0
0.47958001154512164, 0.004195545427684234
AVG: 0.47958001154512164, STD: 0.0
0.5005000119447708, 0.004193379921500391
AVG: 0.5005000119447708, STD: 0.0
0.5024800119623541, 0.004193109559167803
AVG: 0.5024800119623541, STD: 0.0
0.5921400130614638, 0.004236706137227135
AVG: 0.5921400130614638, STD: 0.0
0.6552800131857395, 0.004047537221464745
AVG: 0.6552800131857395, STD: 0.0
